concept,gloss
równie,równie
równo,równo
różowy,różowy
rękawiczka,rękawiczka
sadzić,sadzić
sam,sam
samobójstwo,samobójstwo
samochód,samochód
samolot,samolot
samotny,samotny
sauna,sauna
sałata,sałata
schody,schody
schować się,schować się
ser,ser
serce,serce
serwis,serwis
siadać,siadać
siatkówka,siatkówka
siedem,siedem
siedem dni,siedem dni
siedem godzin,siedem godzin
siedem kilogramów,siedem kilogramów
siedem lat,siedem lat
siedem lat temu,siedem lat temu
siedem miesięcy,siedem miesięcy
siedem tygodni,siedem tygodni
siedem tygodni temu,siedem tygodni temu
siedem złotych,siedem złotych
siedemdziesiąt złotych,siedemdziesiąt złotych
siedemnaście,siedemnaście
siedemnaście złotych,siedemnaście złotych
siedemset,siedemset
siedlce,Siedlce
siedmioro,siedmioro
siedzieć,siedzieć
sierpień,sierpień
silnik,silnik
siódma godzina,siódma godzina
siódme piętro,siódme piętro
siódmy,siódmy
się,się; siebie
skakać,skakać
skarpety,skarpety; skarpetki
sklep,sklep
skorpion,skorpion
skończyć,kończyć; skończyć
skończyć się,skończyć się; wyczerpać
skrzyżowanie,skrzyżowanie
skrót,skrót
skręcać,skręcać
skręcić,skręcić
skupić,skupić
skóra,skóra
skąd,skąd
skąd wiesz?,skąd wiesz?
składać,składać
składka,składka
smaczny,smaczny
smarkacz,smarkacz
smutny,smutny
smycz,smycz
sobota,sobota
socjalizm,komunizm; socjalizm
sofia,Sofia
sowa,sowa
spacer,spacer
spadek,spadek
spawacz,spawacz
spać,spać
specjalny,specjalny
spieszyć się,spieszyć się
spodnie,spodnie
spokojny,spokojny
sport,sport
sposób,sposób
spotkać,spotkać
sprawa,sprawa
sprzedać,sprzedać
sprzątać,sprzątać
sprężyna,sprężyna
spuchnięty,spuchnięty
spódnica,spódnica
srebro,srebro
stanowczy,stanowczy
stany zjednoczone ameryki,Stany Zjednoczone Ameryki; USA
starać się,starać się
starszy,starszy
start,start
staruszek,dziadek; staruszek
stary,stary
statek,statek; łódź; łódka
stawiać,stawiać
stać,stać
stempel,stempel; pieczątka
sto,sto
stolarz,stolarz
stop,stop
stopień,stopień
stracić,stracić
strajk,strajk
straszny,okropny; straszny
strażak,strażak
strip-tease,strip-tease
struś,struś
strych,strych
strzelać,strzelać; wystrzelić
strzelać z łuku,strzelać z łuku
strzelba,strzelba
strzelec,Strzelec
strój,ubranie; strój
studia,studia
styczeń,styczeń
stół,stół
suchy,suchy
sufit,sufit
sukienka,sukienka
super,super
surowy,surowy
surówka,surówka
suwałki,Suwałki
sweter,sweter
swobodny,swobodny
sylwester,Sylwester
sympatyczny,sympatyczny
syn,syn
syria,Syria
system,system
sytuacja,sytuacja
szacować,szacować
szafa,szafa
szalik,szalik
szampan,szampan
szanować,szanować
szary,szary
szczecin,Szczecin
szczególny,specjalny; szczególny
szczekać,szczekać
szczepionka,szczepionka
szczery,szczery
szczotka,szczotka
szczęście,szczęście
szef,szef
szesnaście,szesnaście
szesnaście złotych,szesnaście złotych
sześcioro,sześcioro
sześć,sześć
sześć dni,sześć dni
sześć godzin,sześć godzin
sześć kilogramów,sześć kilogramów
sześć lat,sześć lat
sześć lat temu,sześć lat temu
sześć miesięcy,sześć miesięcy
sześć tygodni,sześć tygodni
sześć tygodni temu,sześć tygodni temu
sześć złotych,sześć złotych
sześćdziesiąt,sześćdziesiąt
sześćset,sześćset
szkocja,Szkocja
szkoła,szkoła
szkoła podstawowa,szkoła podstawowa
szlaban,szlaban
szlafrok,szlafrok
szok,szok
szpieg,szpieg
szpilki,szpilki
szpital,szpital
sztokholm,Sztokholm
sztuczny,sztuczny
szuflada,szuflada
szukać,szukać
szwajcaria,Szwajcaria
szwecja,Szwecja
szybko,szybko
szyja,szyja
szynka,szynka
szyć,szyć
szósta godzina,szósta godzina
szóste piętro,szóste piętro
szóstka,szóstka
szósty,szósty
sól,sól
sąd,sąd
sąsiad,sąsiad
sędzia,sędzia
słaby,słaby
sławny,sławny; popularny; słynny
słodki,słodki
słoik,słoik
słowacja,Słowacja
słowenia,Słowenia
słowo,słowo; wyraz
słoń,słoń
słuchawka,słuchawka
słuchać,słuchać
słup,słup
służący,służący
słyszeć,słyszeć
t-shirt,T-shirt; podkoszulek
tabletka,tabletka
tajemnica,tajemnica
tak,tak
tak samo,tak samo; bez zmian
talerz,talerz
tam,tam
tańczyć,tańczyć
teatr,teatr
telefon,telefon
telefon komórkowy,telefon komórkowy
telewizor,telewizor
temat,temat
tenis,tenis
teoria,teoria
terapia,terapia
teść,teść
też,też; również
tir,tir
to samo,to samo
toczyć,toczyć
tokarz,tokarz
tor,tor
torba,torba
tort,tort
towarzystwo,towarzystwo
tradycja,tradycja
trafić,trafić
traktor,traktor
transport,komunikacja; transport
trawa,trawa
trenować,trenować
trochę,trochę
trucizna,trucizna
trudny,trudny
truskawka,truskawka
trzeba,trzeba
trzeci,trzeci
trzeci raz,trzeci raz
trzecia godzina,trzecia godzina
trzecie miejsce,trzecie miejsce
trzecie piętro,trzecie piętro
trzy,trzy
trzy dni temu,trzy dni temu
trzy kilogramy,trzy kilogramy
trzy lata,trzy lata
trzy lata temu,trzy lata temu
trzy miesiące,trzy miesiące
trzy razy,trzy razy
trzy tygodnie temu,trzy tygodnie temu
trzy tysiące,trzy tysiące
trzy złote,trzy złote
trzy_dni,trzy_dni
trzydzieści,trzydzieści
trzydzieści złotych,trzydzieści złotych
trzymać,trzymać
trzysta,trzysta
trójka,trójka; trója
trójkąt,trójkąt
tunezja,Tunezja
turcja,Turcja
turystyka,turystyka
twardy,twardy
twój,twój; twoja; twoje; jego; jej
tydzień,tydzień; jeden tydzień
tydzień temu,tydzień temu
tygrys,tygrys
tymczasem,tymczasem; na razie
tysiąc,tysiąc
tytuł,tytuł
tętnica szyjna,tętnica szyjna
tłumaczyć,tłumaczyć; wyjaśniać
ubierać się,ubierać się; ubierać
ubikacja,ubikacja
ubiór,ubiór; strój; ubranie
ubranie,ubiór; ubranie; strój
uciekać,uciekać
uczciwy,uczciwy
uczulenie,uczulenie; alergia
uczyć,uczyć
uczyć się,uczyć; uczyć się
uderzyć,uderzyć
ukraina,Ukraina
ukrywać się,ukrywać się
ulga,ulga
ulgowy,ulgowy
ulżyć,ulżyć
umierać,umierać
unikać,unikać
upadać,upadać
uparty,uparty
uprawiać,uprawiać
uprzedzić,uprzedzić
urlop,urlop
urodzić,urodzić
usa,USA; Stany Zjednoczone
usg,USG
usta,usta
ustawa,ustawa
usunąć,wyrzucić; usunąć; wywalić
uszy,uszy
utrzymać,trzymać; mieć; utrzymać
utrzymywać,utrzymywać
uwaga,uwaga
uważać,uważać
uwielbiać,lubić; uwielbiać
uznać,uznać; zaakceptować
uśmiechać się,uśmiechać się
używać,używać
w ogóle,w ogóle; wcale
w porządku,w porządku
w środku,w środku
wada,wada
waga,waga
wakacje,wakacje
walka,walka
waluta,waluta
wariat,wariat
warkocz,warkocz
warszawa,Warszawa
warto,warto
wartość,wartość
warunki,warunki
warzywa,warzywa
watykan,Watykan
ważny,ważny
wc,wc; toaleta
wcale,wcale
wcześniej,wcześniej
wczoraj,wczoraj
weekend,weekend
wejherowo,Wejherowo
wesele,wesele
wesoły,wesoły
western,western
wezwać,wezwać
wiadomość,wiadomość; informacja
wiadukt,most; wiadukt
widelec,widelec
wideo,wideo; magnetowid
widzieć,widzieć
wieczór,wieczór
wiedzieć,wiedzieć
wieliczka,Wieliczka
wielkanoc,Wielkanoc
wielki,duży; wielki; ogromny
wieloletni,długoletni; wieloletni
wieprzowina,wieprzowina
wiertarka,wiertarka
wierzyć,wierzyć
wietnam,Wietnam
wiewiórka,wiewiórka
wieś,wieś
wieżowiec,blok; wieżowiec
wigilia,Wigilia
willa,willa
wina,wina
winda,winda
wino,wino
winogrono,winogrono
wiosna,wiosna
wiosłować,wiosłować
witać,witać
więcej,więcej
więzień,więzień
wiśnia,wiśnia; czereśnia
wkrótce,wkrótce; niedługo; niebawem
wkładać,wkładać; włożyć
woda,woda
województwo,województwo
wojna,wojna
wojsko,wojsko
woleć,woleć
wolno,wolno
wolny,wolny
wołać,wołać
wołowina,wołowina
wpaść,wpaść; odwiedzić
wpływać,wpływać
wrocław,Wrocław
wrzesień,wrzesień
wrócić,wrócić; wracać
wróg,wróg
wschód,wschód
wspaniały,wspaniały
wspinać się,wspinać się
współczuć,współczuć
wstawać,wstawać
wstrętny,wstrętny; obrzydliwy
wstydzić się,wstydzić się
wszystko,wszystko
wszystko jedno,wszystko jedno
wujek,wujek; wuj
wybierać,wybierać
wybory,wybory
wybuchać,wybuchać
wychodzić,wychodzić
wychowanie fizyczne,wychowanie fizyczne; WF
wychowawca,wychowawca
wycieczka,wycieczka
wycofać się,wycofać się
wydawać,wydawać
wyjaśniać,wyjaśniać; tłumaczyć
wyjechać,wyjechać
wykorzystać,wykorzystać
wykład,wykład
wyleciało mi z głowy,nie mysleć; wyleciało mi z głowy
wymyślać,wymyślać
wynajmować,wynajmować
wynik,wynik
wypadek,wypadek
wyplatać,wyplatać
wypluć,wypluć
wypowiedzieć,wypowiedzieć
wyprowadzić się,wyprowadzić się
wyprzedzić,wyprzedzić
wypytywać,pytać; wypytywać
wyraźny,wyraźny; widoczny
wyrzucać,wyrzucać
wyrzucić,wyrzucić
wysoki,wysoki
wystarczy,wystarczy
wysłać,wysłać
wytrzymać,wytrzymać
wyłączyć,wyłączyć
wyświetlać,wyświetlać
wziąć ślub,wziąć ślub; poślubić
wzrokowy,wzrokowy; wizualny
wzrosnąć,rosnąć; wzrosnąć
wódka,wódka
wójt,wójt
wózek,wózek
wąchać,wąchać
wąsy,wąsy
wątpić,wątpić
wątroba,wątroba
węgry,Węgry
węszyć,węszyć
własny,własny
właśnie,właśnie
włochy,Włochy
włos,włos
włączyć,włączyć
wściekłość,wściekłość
z góry,z góry
z powodu,z powodu; przez
za,za
za cztery lata,za cztery lata
za cztery miesiące,za cztery miesiące
za cztery tygodnie,za cztery tygodnie
za dużo,za dużo
za dwa dni,za dwa dni; pojutrze
za dwa lata,za dwa lata
za dwa miesiące,za dwa miesiące
za dwa tygodnie,za dwa tygodnie
za dziewięć lat,za dziewięć lat
za dziewięć miesięcy,za dziewięć miesięcy
za dziewięć tygodni,za dziewięć tygodni
za długo,za długo
za miesiąc,za miesiąc
za osiem lat,za osiem lat
za osiem miesięcy,za osiem miesięcy
za osiem tygodni,za osiem tygodni
za pięć lat,za pięć lat
za pięć miesięcy,za pięć miesięcy
za pięć tygodni,za pięć tygodni
za rok,za rok
za siedem lat,za siedem lat
za siedem miesięcy,za siedem miesięcy
za siedem tygodni,za siedem tygodni
za sześć lat,za sześć lat
za sześć miesięcy,za sześć miesięcy
za sześć tygodni,za sześć tygodni
za trzy dni,za trzy dni
za trzy lata,za trzy lata
za trzy miesiące,za trzy miesiące
za trzy tygodnie,za trzy tygodnie
za tydzień,za tydzień
zablokowany,zablokowany
zabrać,zabrać
zabytek,zabytek
zachód,zachód
zadowolony,zadowolony
zadzwonić,zadzwonić
zajęty,zajęty
zakazać,zakazać; zabronić; grozić
zakochanie,zakochanie
zakon,zakon
zakopane,Zakopane
zakup,zakup
zakwasy,zakwasy
zamknięty,zamknięty
zamknąć,zamknąć; zamykać
zamówić,zamówić
zaniedbanie,zaniedbanie
zapach,zapach
zapalenie,zapalenie
zapalić samochód,zapalić samochód
zapamiętać,zapamiętać
zapas,zapas
zapałki,zapałki
zapinać,zapinać
zapisać,zapisać
zapomnieć,zapomnieć
zaprosić,zaprosić
zaraz,zaraz; chwila
zarozumiały,dumny; zarozumiały
zasiedzieć się,zasiedzieć się
zaskakiwać,zaskoczyć; zaskakiwać
zaskoczyć,zaskoczyć
zastanawiać się,zastanawiać się
zastrzyk,zastrzyk
zasłona,zasłona
zauważyć,zauważyć
zawał,zawał
zawroty głowy,zawroty głowy
zawsze,zawsze
zawód,zawód
zazdrościć,zazdrościć
załamany,załamany
załatwić,załatwić; załatwiać
założyć,założyć
zaświadczenie,zaświadczenie
zbierać,zbierać
zbierać pieniądze,zbierać pieniądze
zbliżać się,zbliżać się
zdanie,zdanie
zdenerwować się,zdenerwować się
zdjęcie,zdjęcie
zdrada,zdrada
zdrowy,zdrowy
zebra,zebra
zemsta,zemsta
zero,zero
zerwać,zerwać
zespół,zespół; grupa
zgadzać się,zgadzać się
zgasić,zgasić; wyłączyć
zgrabna,zgrabna
zgłaszać się,zgłaszać się
zgłosić,zgłosić
zielony,zielony
ziemniak,ziemniak
zima,zima
zioła,zioła
zjeść,zjeść
zlikwidować,zlikwidować
zlkwidować,zlkwidować
zmiana,zmiana
zmniejszać się,zmniejszać się
zmuszać,zmuszać
zmyslać,zmyslać; opowiadać bzdury
zmywarka,zmywarka
zmywać,zmywać
zmyślać,zmyślać
zmęczony,zmęczony
znak,znak; symbol; znak migowy; znak drogowy
zniknąć,zniknąć
znudzić,znudzić
zorientować się,zorientować się
zostawić,zostawić
zostawić kogoś w spokoju,zostawić kogoś w spokoju
zostać,zostać
zrezygnować,zrezygnować
zrzucić winę,zrzucić winę
zupa,zupa
zwariować,zwariować; wpaść w szał
zwiedzać,zwiedzać
zwierzę,zwierzę
związać,związać; zawiązać
zwlekać,zwlekać
zwolnienie lekarskie,zwolnienie lekarskie
zwolnić się,zwolnić się
zwrócić uwagę,zwrócić uwagę
zwykły,zwykły; zwyczajny
złapać,złapać
złapać na gorącym uczynku,złapać na gorącym uczynku
złodziej,złodziej
złoto,złoto
złoty,złoty
złość,złość
zły,zły
ósma godzina,ósma godzina
ósma klasa,ósma klasa
ósme piętro,ósme piętro
ósmy,ósmy
łabędź,łabędź
ładny,ładny
łapać autostop,łapać autostop
ławka,ławka
łańcuch,łańcuch
łotwa,Łotwa
łuk,łuk
łysy,łysy
łyżworolki,łyżworolki; rolki
łyżwy,łyżwy
łódź,Łódź
łóżko,łóżko
ściana,ściana
ściągawka,ściągawka
ślepy,ślepy
ślisko,ślisko
śliwka,śliwka
ślusarz,ślusarz
śmiać się,śmiać się
śmierdzieć,śmierdzieć
śmierć,śmierć
śmieszny,śmieszny
śmietana,śmietana
śnieg,śnieg
śpiewać,śpiewać
środa,środa
śrubokręt,śrubokręt
śródborów,Śródborów
świat,świat
światło,światło
świeczka,świeczka
świetlica,świetlica
świetny,wspaniały; świetny
świeży,świeży
świnia,świnia
święto,święto
źle,źle
żaba,żaba
żaglówka,żaglówka
żal,żal; smutek
żartować,żartować
żałoba,żałoba
żebra,żebra
żebrak,żebrak
żeby,aby; żeby
żołądek,żołądek
życie,życie
życzenie,życzenie
żyła,żyła
żółty,żółty
żółw,żółw
żłobek,żłobek
